key,english,spanish,german,french,italian,russian,japanese,portuguese,chinese,korean
TITLE,A BOY AND HIS GOD,UN NIÑO Y SU DIOS,EIN JUNGE UND SEIN GOTT,UN GARÇON ET SON DIEU,UN RAGAZZO E IL SUO DIO,МАЛЬЧИК И ЕГО БОГ,少年と神,UM MENINO E SEU DEUS,一个男孩和他的上帝,소년과 그의 신
BUTTON1,Ready,Listo,Bereit,Prêt,Pronto,Готово,準備完了,Pronto,准备好了,준비
BUTTONS,START GAME,INICIAR JUEGO,SPIEL STARTEN,COMMENCER,INIZIA GIOCO,НАЧАТЬ ИГРУ,ゲーム開始,INICIAR JOGO,开始游戏,게임 시작
BUTTONC,CREDITS,CRÉDITOS,CREDITS,CRÉDITS,CREDITI,ТИТРЫ,クレジット,CRÉDITOS,制作人员,제작진
BUTTOND,DIFFICULTY,DIFICULTAD,SCHWIERIGKEIT,DIFFICULTÉ,DIFFICOLTÀ,СЛОЖНОСТЬ,難易度,DIFICULDADE,难度,난이도
EASY,EASY,FÁCIL,EINFACH,FACILE,FACILE,ЛЕГКО,イージー,FÁCIL,简单,쉬움
MEDI,MEDIUM,MEDIO,MITTEL,MOYEN,MEDIO,СРЕДНЕ,ノーマル,MÉDIO,中等,보통
HARD,HARD,DIFÍCIL,SCHWER,DIFFICILE,DIFFICILE,СЛОЖНО,ハード,DIFÍCIL,困难,어려움
CLIP,CLIP,CLIP,CLIP,CLIP,CLIP,КЛИП,クリップ,CLIPE,片段,클립
AMMO,AMMO,MUNICION,MUNITION,MUNITIONS,MUNIZIONI,БОЕПРИПАСЫ,弾薬,MUNICAO,弹药,탄약
T1V1,"Vizio calls upon you once more
to carry out his will.","Vizio te llama una vez más
para cumplir su voluntad.","Vizio ruft dich erneut,
um seinen Willen auszuführen.","Vizio t'appelle une fois encore
pour accomplir sa volonté.","Vizio ti chiama ancora una volta
per compiere la sua volontà.","Визио снова призывает тебя,
чтобы исполнить его волю.","Vizioは再びお前を呼び、
その意志を遂行させる。","Vizio te chama mais uma vez
para cumprir sua vontade.","维齐奥再次召唤你，
去执行他的意志。","비지오가 다시 한번 너를 부른다.
그의 뜻을 이루기 위해서다."
T1D1,"In pursuit of your will, I 
have lost my sister Lily.
She was taken by your enemies!","En busca de tu voluntad,
he perdido a mi hermana Lily.
¡Tus enemigos se la llevaron!","Auf der Suche nach deinem Willen
habe ich meine Schwester Lily verloren.
Deine Feinde haben sie mitgenommen!","En poursuivant ta volonté,
j'ai perdu ma sœur Lily.
Tes ennemis l'ont emportée !","Nel perseguire la tua volontà,
ho perso mia sorella Lily.
I tuoi nemici l'hanno rapita!","В стремлении исполнить твою волю
я потерял свою сестру Лили.
Её забрали твои враги!","あなたの意志を追い求める中で、
妹のリリーを失った。
彼女はお前の敵に連れ去られた！","Ao perseguir a tua vontade,
perdi minha irmã Lily.
Seus inimigos a levaram!","为了追随你的意志，
我失去了我的妹妹莉莉。
她被你的敌人带走了！","네 뜻을 따르다가
내 여동생 릴리를 잃었다.
네 적들이 그녀를 데려갔다!"
T1V2,"Your sister is not yet gone, Darius.","Tu hermana aún no se ha ido, Darius.","Deine Schwester ist noch nicht verloren, Darius.","Ta sœur n'est pas encore perdue, Darius.","Tua sorella non è ancora perduta, Darius.","Твоя сестра ещё не потеряна, Дариус.",お前の妹はまだ死んではいない、ダリウス。,"Sua irmã ainda não se foi, Darius.",你的妹妹还没有死，达里乌斯。,"네 여동생은 아직 죽지 않았다, 다리우스."
T1V3,"Destroy the squid demon Mulus, and she will be alive in your arms 
once more.",Destruye al demonio calamar Mulus y ella volverá a estar viva en tus brazos.,"Vernichte den Tintenfischdämon Mulus, und sie wird wieder lebendig in deinen Armen liegen.","Détruis le démon calmar Mulus, et elle sera de nouveau vivante dans tes bras.",Distruggi il demone calamaro Mulus e lei sarà di nuovo viva tra le tue braccia.,"Уничтожь демона-кальмара Мулуса, и она снова будет жива в твоих объятиях.",イカの悪魔ムルスを倒せ。そうすれば、彼女は再びお前の腕の中で生きる。,"Destrua o demônio lula Mulus, e ela estará viva novamente em seus braços.",消灭鱿鱼恶魔穆鲁斯，她就会再次活着回到你的怀抱。,오징어 악마 물루스를 처치해라. 그러면 그녀는 다시 네 품에서 살아날 것이다.
C1S1,"You will carry this girl through your
almighty's madness no longer!!","¡¡Ya no llevarás a esta chica a través de la locura de tu
«todopoderoso»!!","Du wirst dieses Mädchen nicht länger durch den Wahnsinn deines
„Allmächtigen“ schleppen!!","Tu ne feras plus subir à cette fille la folie de ton
« tout-puissant » !!","Non trascinerai più questa ragazza nella follia del tuo
«onnipotente»!!","Ты больше не будешь тащить эту девушку через безумие своего
«всемогущего»!!","もうこの娘を、お前の
「全能なる者」の狂気に巻き込ませはしない！！","Você não vai mais arrastar essa garota pela loucura do seu
“todo-poderoso”!!","你再也不会让这个女孩承受你那个
“全能之神”的疯狂了！！","더 이상 이 소녀를 네
“전능자”의 광기에 휘말리게 하지 않겠다!!"
C1L1,"Darius, what if . . what if lord Vizio is just pretend? If he's not real?","Darius, ¿y si... y si el señor Vizio es solo una mentira? ¿Y si no es real?","Darius, was, wenn... was, wenn Lord Vizio nur erfunden ist? Wenn er nicht real ist?","Darius, et si... et si le seigneur Vizio n'était qu'une invention ? Et s'il n'était pas réel ?","Darius, e se... e se il signore Vizio fosse solo un'invenzione? E se non fosse reale?","Дариус, а что, если... что, если лорд Визио — лишь выдумка? Если его не существует?",ダリウス、もし……もしヴィジオ様がただの作り話だったら？ 本当は存在しなかったら？,"Darius, e se... e se o senhor Vizio fosse apenas uma invenção? E se ele não fosse real?",达里乌斯，如果……如果维齐奥大人只是虚构的呢？如果他根本不存在呢？,"다리우스, 만약... 만약 비지오 님이 그저 꾸며낸 존재라면? 진짜가 아니라면?"
C1D1,"These fools still challenge Vizio's 
might. When will they learn?","Estos necios aún desafían el poder de Vizio.
¿Cuándo aprenderán?","Diese Narren fordern Vizios Macht immer noch heraus.
Wann werden sie es endlich begreifen?","Ces imbéciles défient encore la puissance de Vizio.
Quand comprendront-ils ?","Questi sciocchi sfidano ancora il potere di Vizio.
Quando impareranno?","Эти глупцы всё ещё бросают вызов могуществу Визио.
Когда же они поймут?","この愚か者たちはまだヴィジオの力に挑む。
いつになったら理解する？","Esses tolos ainda desafiam o poder de Vizio.
Quando vão aprender?","这些蠢货还在挑战维齐奥的力量。
他们什么时候才能明白？","이 어리석은 자들은 아직도 비지오의 힘에 도전한다.
대체 언제 깨달을 것인가?"
C1D2,"Lily! Repent before it's too late! 
If Vizio finds out you said that...","¡Lily! ¡Arrepiéntete antes de que sea demasiado tarde!
Si Vizio se entera de que dijiste eso...","Lily! Bereue, bevor es zu spät ist!
Wenn Vizio erfährt, dass du das gesagt hast...","Lily ! Repens-toi avant qu'il ne soit trop tard !
Si Vizio apprend que tu as dit ça...","Lily! Pentiti prima che sia troppo tardi!
Se Vizio scopre che hai detto questo...","Лили! Покайся, пока не поздно!
Если Визио узнает, что ты это сказала...","リリー！ 手遅れになる前に悔い改めろ！
ヴィジオにそんなことを言ったと知られたら……","Lily! Arrependa-se antes que seja tarde demais!
Se Vizio descobrir que você disse isso...","莉莉！趁还来得及赶快忏悔！
如果维齐奥发现你说了这种话……","릴리! 늦기 전에 회개해!
비지오가 네가 그런 말을 했다는 걸 알게 되면..."
C1D3,"If you harm even a hair on her 
head freak, I will- ","Si le haces daño siquiera a un pelo de su cabeza, monstruo, ¡yo...!","Wenn du ihr auch nur ein Haar krümmst, Freak, werde ich-","Si tu touches ne serait-ce qu'à un cheveu de sa tête, espèce de monstre, je vais-","Se torci anche solo un capello sulla sua testa, mostro, io-","Если ты причинишь ей хоть малейший вред, урод, я-",彼女の髪の一本にでも傷をつけたら、この化け物、俺は――,"Se você machucar sequer um fio de cabelo dela, seu monstro, eu vou-",你要是敢伤她一根头发，你这个怪物，我就——,"그녀의 머리카락 한 올이라도 건드리면, 이 괴물아, 난-"
C1D4,"Damn! It won't matter if I save
her from that Demon if Vizio finds
out about this.","¡Maldita sea! No importará si la salvo
de ese demonio si Vizio se entera
de esto.","Verdammt! Es wird nichts bringen, wenn ich sie vor diesem Dämon rette,
wenn Vizio davon erfährt.","Merde ! Ça ne servira à rien de la sauver
de ce démon si Vizio apprend
ce qui s'est passé.","Dannazione! Non servirà a nulla salvarla
da quel demone se Vizio scoprirà
quello che è successo.","Чёрт! Не будет никакого смысла спасать её
от этого демона, если Визио узнает
об этом.","くそっ！ あの悪魔から彼女を救っても、
ヴィジオにこのことが知られたら
何の意味もない。","Droga! Não vai adiantar salvá-la
daquele demônio se Vizio descobrir
o que aconteceu.","该死！就算我把她从那个恶魔手里救出来，
如果维齐奥知道了这件事，
也没有任何意义。","젠장! 그 악마에게서 그녀를 구해도
비지오가 이 일을 알게 된다면
아무 소용이 없어."
C2S1,"Believe it or not girl, you are
much safer here than out there.","Lo creas o no, chica, aquí estás
mucho más segura que ahí fuera.","Ob du es glaubst oder nicht, Mädchen, hier bist du
viel sicherer als dort draußen.","Que tu le croies ou non, fille, tu es
bien plus en sécurité ici que dehors.","Che tu ci creda o no, ragazza, qui sei
molto più al sicuro che là fuori.","Веришь ты или нет, девочка, здесь ты
гораздо в большей безопасности, чем снаружи.","信じようと信じまいと、ここにいる方が
外にいるよりずっと安全だ、娘。","Acredite ou não, garota, você está
muito mais segura aqui do que lá fora.","信不信由你，姑娘，你在这里
比外面安全得多。","믿든 말든, 아가씨, 여긴
밖보다 훨씬 안전해."
